mark_x,strikePrice,underlyingPrice,theoreticalOptionValue,timeValue,volatility,vega,delta,gamma,theta,rho,p_L,stock,stock_scale,Percent_profit,classifier,prophet_yhat,prophet_yhat_upper,prophet_yhat_lower
8.9,1110.0,1115.31,-9.022000000000002,-8.9,2.6099999999999994,0.247,-0.0049999999999998926,-0.003,0.18899999999999995,0.111,1.65,30,AZO,18.539325842696627,0,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.200000000000001,1112.5,1115.31,-9.57,-16.650000000000002,3.463999999999998,0.246,0.0020000000000000018,-0.003999999999999999,0.15499999999999992,0.11,3.35,30,AZO,40.85365853658536,0,1185.5610788843508,1241.1722445108062,1138.0306079931433
7.8000000000000025,1115.0,1115.31,-8.718,-9.1,2.2979999999999983,0.247,0.012000000000000007,-0.003,0.20000000000000007,0.109,4.5,30,AZO,57.69230769230768,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.599999999999998,1117.5,1115.31,-9.25,-7.02,3.115000000000002,0.248,0.02100000000000002,-0.003999999999999999,0.16299999999999992,0.108,4.05,30,AZO,47.09302325581397,0,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.799999999999997,1120.0,1115.31,-8.900000000000002,-10.95,3.0799999999999983,0.251,0.031999999999999966,-0.003999999999999999,0.1449999999999999,0.106,5.2,30,AZO,59.09090909090912,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.3,1122.5,1115.31,-7.600000000000001,-16.96,1.3080000000000034,0.254,0.036999999999999984,-0.003,0.209,0.10399999999999998,6.22,30,AZO,74.93975903614457,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.1,1125.0,1115.31,-7.950000000000001,-8.229999999999999,1.974,0.259,0.048000000000000036,-0.003999999999999999,0.16899999999999993,0.10300000000000001,6.27,30,AZO,77.4074074074074,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.5,1127.5,1115.31,-7.899999999999999,14.5,2.2360000000000007,0.266,0.057999999999999996,-0.003999999999999999,0.138,0.101,6.35,30,AZO,74.70588235294117,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.75,1130.0,1115.31,-8.600000000000001,-11.5,3.52,0.28,0.07400000000000001,-0.003999999999999999,0.06600000000000006,0.102,5.8,30,AZO,66.28571428571428,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
6.1,1137.5,1115.31,-4.399999999999999,-5.15,-2.474,0.266,0.04999999999999999,-0.001,0.2839999999999999,0.08600000000000001,3.3,30,AZO,54.098360655737714,1,1185.5610788843508,1241.1722445108062,1138.0306079931433
